,championId,championLevel,championPoints,lastPlayTime,championPointsSinceLastLevel,championPointsUntilNextLevel,chestGranted,tokensEarned,summonerId
169,114,5,28660,1609559813000,7060,0,False,2,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
170,104,5,24013,1610756509000,2413,0,False,0,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
171,412,5,23630,1602631063000,2030,0,False,0,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
172,126,5,22740,1611468479000,1140,0,False,0,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
173,1,5,22185,1517793635000,585,0,False,0,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
174,105,4,20655,1514853367000,8055,945,False,0,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
175,39,4,18743,1605061698000,6143,2857,False,0,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
176,53,4,18536,1590808569000,5936,3064,False,0,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
177,18,4,18502,1612311294000,5902,3098,False,0,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
178,133,4,17941,1610073119000,5341,3659,False,0,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
179,498,4,17362,1599774305000,4762,4238,False,0,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
180,141,4,16998,1585365468000,4398,4602,False,0,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
181,429,4,16413,1603924755000,3813,5187,False,0,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
182,45,4,16107,1602827096000,3507,5493,False,0,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
183,15,4,13970,1607654354000,1370,7630,False,0,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
184,203,4,13784,1604273341000,1184,7816,False,0,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
185,22,4,13470,1608154537000,870,8130,False,0,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
186,63,3,12339,1608001844000,6339,261,False,0,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
187,80,3,11513,1488986853000,5513,1087,False,0,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
188,164,3,11218,1608408739000,5218,1382,False,0,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
189,25,3,10463,1599771579000,4463,2137,False,0,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
190,59,3,10444,1610941786000,4444,2156,False,0,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
191,110,3,9996,1599588426000,3996,2604,False,0,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
192,163,3,9124,1610218887000,3124,3476,False,0,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
193,61,3,8653,1532723401000,2653,3947,False,0,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
194,62,3,8383,1605136781000,2383,4217,False,0,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
195,99,3,8340,1604980801000,2340,4260,False,0,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
196,115,3,7960,1532047036000,1960,4640,False,0,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
197,55,3,7869,1531787903000,1869,4731,False,0,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
198,43,3,7086,1608681435000,1086,5514,False,0,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
199,89,3,6468,1608152913000,468,6132,False,0,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
200,42,2,5797,1609890555000,3997,203,False,0,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
201,79,2,5509,1610943495000,3709,491,False,0,aMEBpRtdyte42NBvGV7VPS5RC5hDvc-VHYqlbUjruRBKoQ
