index,championId,championLevel,championPoints,lastPlayTime,championPointsSinceLastLevel,championPointsUntilNextLevel,chestGranted,tokensEarned,summonerId,date
98,12,1,1740,1581581878000,1740,60,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
99,31,1,1724,1590596347000,1724,76,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
100,238,1,1637,1589511063000,1637,163,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
101,117,1,1550,1581315687000,1550,250,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
102,62,1,1487,1597392347000,1487,313,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
103,105,1,1452,1602901159000,1452,348,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
104,54,1,1396,1591234730000,1396,404,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
105,55,1,1298,1615249748000,1298,502,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
106,150,1,1191,1590599084000,1191,609,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
107,266,1,1174,1592802941000,1174,626,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
108,114,1,1165,1614866654000,1165,635,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
109,523,1,1099,1610985261000,1099,701,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
110,350,1,1066,1589523564000,1066,734,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
111,3,1,1059,1602787193000,1059,741,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
112,98,1,1049,1585188153000,1049,751,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
113,101,1,1034,1593381469000,1034,766,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
114,133,1,969,1614718533000,969,831,1,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
115,72,1,969,1611864634000,969,831,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
116,201,1,962,1603689068000,962,838,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
117,40,1,891,1582959878000,891,909,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
118,99,1,870,1587256778000,870,930,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
119,115,1,779,1540492800000,779,1021,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
120,50,1,719,1530366398000,719,1081,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
121,235,1,675,1581042866000,675,1125,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
122,86,1,627,1592845555000,627,1173,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
123,16,1,562,1578867951000,562,1238,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
124,19,1,291,1562441176000,291,1509,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
125,518,1,291,1593310300000,291,1509,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
126,26,1,260,1439157918000,260,1540,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
127,34,1,218,1614737230000,218,1582,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
128,69,1,177,1579239941000,177,1623,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
129,68,1,162,1548195984000,162,1638,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
130,96,1,161,1492192082000,161,1639,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
131,516,1,157,1587356732000,157,1643,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
132,267,1,157,1438547827000,157,1643,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
133,420,1,147,1541280429000,147,1653,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
134,143,1,98,1610246066000,98,1702,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
135,223,1,93,1585173172000,93,1707,0,0,7t7OZd5uV78kN6GF0zvrOQ2sY6BczghQEnbGzlfZarS-oQ,2021-03-10
136,98,7,308686,1614198200000,287086,0,1,0,e8W3TGcYhmvb7TusZJc_N9tcGgaGv7T5ag2TSoGZ2PFH,2021-03-12
137,23,7,126240,1604982027000,104640,0,0,0,e8W3TGcYhmvb7TusZJc_N9tcGgaGv7T5ag2TSoGZ2PFH,2021-03-12
138,104,7,120107,1608445005000,98507,0,0,0,e8W3TGcYhmvb7TusZJc_N9tcGgaGv7T5ag2TSoGZ2PFH,2021-03-12
139,157,7,105372,1600906672000,83772,0,0,0,e8W3TGcYhmvb7TusZJc_N9tcGgaGv7T5ag2TSoGZ2PFH,2021-03-12
140,36,7,78264,1611378392000,56664,0,1,0,e8W3TGcYhmvb7TusZJc_N9tcGgaGv7T5ag2TSoGZ2PFH,2021-03-12
141,150,6,76087,1615159247000,54487,0,0,0,e8W3TGcYhmvb7TusZJc_N9tcGgaGv7T5ag2TSoGZ2PFH,2021-03-12
142,92,7,76078,1614289521000,54478,0,0,0,e8W3TGcYhmvb7TusZJc_N9tcGgaGv7T5ag2TSoGZ2PFH,2021-03-12
143,6,7,74968,1607135159000,53368,0,0,0,e8W3TGcYhmvb7TusZJc_N9tcGgaGv7T5ag2TSoGZ2PFH,2021-03-12
144,64,7,62817,1612229601000,41217,0,0,0,e8W3TGcYhmvb7TusZJc_N9tcGgaGv7T5ag2TSoGZ2PFH,2021-03-12
145,57,6,61608,1614911988000,40008,0,0,2,e8W3TGcYhmvb7TusZJc_N9tcGgaGv7T5ag2TSoGZ2PFH,2021-03-12
146,25,6,60381,1609487483000,38781,0,0,2,e8W3TGcYhmvb7TusZJc_N9tcGgaGv7T5ag2TSoGZ2PFH,2021-03-12
147,58,7,57099,1614106209000,35499,0,0,0,e8W3TGcYhmvb7TusZJc_N9tcGgaGv7T5ag2TSoGZ2PFH,2021-03-12
148,82,7,51577,1613837538000,29977,0,0,0,e8W3TGcYhmvb7TusZJc_N9tcGgaGv7T5ag2TSoGZ2PFH,2021-03-12
149,53,7,47517,1609791984000,25917,0,0,0,e8W3TGcYhmvb7TusZJc_N9tcGgaGv7T5ag2TSoGZ2PFH,2021-03-12
150,31,7,46567,1604805440000,24967,0,0,0,e8W3TGcYhmvb7TusZJc_N9tcGgaGv7T5ag2TSoGZ2PFH,2021-03-12
151,55,6,46498,1614131553000,24898,0,0,2,e8W3TGcYhmvb7TusZJc_N9tcGgaGv7T5ag2TSoGZ2PFH,2021-03-12
152,41,6,43010,1615696547000,21410,0,0,1,e8W3TGcYhmvb7TusZJc_N9tcGgaGv7T5ag2TSoGZ2PFH,2021-03-12
153,54,6,41869,1615088760000,20269,0,0,2,e8W3TGcYhmvb7TusZJc_N9tcGgaGv7T5ag2TSoGZ2PFH,2021-03-12
154,75,7,41517,1611974360000,19917,0,0,0,e8W3TGcYhmvb7TusZJc_N9tcGgaGv7T5ag2TSoGZ2PFH,2021-03-12
155,81,6,39669,1614126520000,18069,0,0,0,e8W3TGcYhmvb7TusZJc_N9tcGgaGv7T5ag2TSoGZ2PFH,2021-03-12
156,2,6,39049,1613929281000,17449,0,0,1,e8W3TGcYhmvb7TusZJc_N9tcGgaGv7T5ag2TSoGZ2PFH,2021-03-12
